source,id_str,text,is_retweet,retweet_count,favorite_count
Twitter for iPhone,9.45E+17,"Remember, the Republicans are 5-0 in Congressional races this year. In Senate, I said Roy M would lose in Alabama and supported Big Luther Strange - and Roy lost. Virginia candidate was not a “Trumper,” and he lost.  Good Republican candidates will win BIG!",FALSE,16929,85348
Twitter for iPhone,9.45E+17,"The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!",FALSE,22728,101231
Twitter for iPhone,9.45E+17,"Wow, “FBI lawyer James Baker reassigned,” according to @FoxNews.",FALSE,16794,66132
Twitter for iPhone,9.45E+17,FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!,FALSE,20991,73110
Twitter for iPhone,9.45E+17,"How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin’ James Comey, of the Phony Hillary Clinton investigation (including her 33,000 illegally deleted emails) be given $700,000 for wife’s campaign by Clinton Puppets during investigation?",FALSE,36175,121354
Twitter for iPhone,9.44E+17,"Remember, the most hated part of ObamaCare is the Individual Mandate, which is being terminated under our just signed Tax Cut Bill.",FALSE,25757,121704
Media Studio,9.44E+17,"Today, it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks: https://t.co/kMxoxEB68G https://t.co/OeAoA0sLfx",FALSE,15999,69047
Twitter for iPhone,9.44E+17,"The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace, not Death!",FALSE,19186,91106
Twitter for iPhone,9.44E+17,"Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of Florida. He loves our Country and is a true FIGHTER!",FALSE,16490,73124
Twitter for iPhone,9.44E+17,"95% of Americans will pay less or, at worst, the same amount of taxes (mostly far less). The Dems only want to raise your taxes!",FALSE,21759,104354
Twitter for iPhone,9.44E+17,Will be signing the biggest ever Tax Cut and Reform Bill in 30 minutes in Oval Office. Will also be signing a much needed 4 billion dollar missile defense bill.,FALSE,19465,103281
Twitter for iPhone,9.44E+17,"With all my Administration has done on Legislative Approvals (broke Harry Truman’s Record), Regulation Cutting, Judicial Appointments, Building Military, VA, TAX CUTS &amp; REFORM, Record Economy/Stock Market and so much more, I am sure great credit will be given by mainstream news?",FALSE,20014,92096
Twitter for iPhone,9.44E+17,"“The President has accomplished some absolutely historic things during this past year.” Thank you Charlie Kirk of Turning Points USA. Sadly, the Fake Mainstream Media will NEVER talk about our accomplishments in their end of year reviews. We are compiling a long &amp; beautiful list.",FALSE,19035,86380
Twitter for iPhone,9.44E+17,"At some point, and for the good of the country, I predict we will start working with the Democrats in a Bipartisan fashion. Infrastructure would be a perfect place to start. After having foolishly spent $7 trillion in the Middle East, it is time to start rebuilding our country!",FALSE,28082,122524
Twitter for iPhone,9.44E+17,So true! https://t.co/1c8hu6O5t9,FALSE,10295,47792
Twitter for iPhone,9.44E+17,"Our big and very popular Tax Cut and Reform Bill has taken on an unexpected new source of “love” - that is big companies and corporations showering their workers with bonuses. This is a phenomenon that nobody even thought of, and now it is the rage. Merry Christmas!",FALSE,22316,95312
Twitter for iPhone,9.44E+17,"THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/9HgcBKDSxo https://t.co/dTMU8OwmWB",FALSE,14158,68696
Twitter for iPhone,9.44E+17,"House Democrats want a SHUTDOWN for the holidays in order to distract from the very popular, just passed, Tax Cuts. House Republicans, don’t let this happen. Pass the C.R. TODAY and keep our Government OPEN!",FALSE,21002,89128
Twitter for iPhone,9.44E+17,Home Sales hit BEST numbers in 10 years! MAKE AMERICA GREAT AGAIN,FALSE,18335,86356
Twitter for iPhone,9.44E+17,Was @foxandfriends just named the most influential show in news? You deserve it - three great people! The many Fake News Hate Shows should study your formula for success!,FALSE,19332,92315
Twitter for iPhone,9.44E+17,"The Massive Tax Cuts, which the Fake News Media is desperate to write badly about so as to please their Democrat bosses, will soon be kicking in and will speak for themselves. Companies are already making big payments to workers. Dems want to raise taxes, hate these big Cuts!",FALSE,25744,111795
Media Studio,9.44E+17,WE ARE MAKING AMERICA GREAT AGAIN! https://t.co/HY353gXV0R,FALSE,24389,101666
